"","id","decimalLongitude","decimalLatitude","catalogNumber","datasetName","obisID","scientificNameID","genus","family","order","species","speciesID","sex","datasetID"
"1",18944,-59.6585998535156,46.6683006286621,"ARC 181061","Fishbase occurrences hosted by GBIF-Sweden",465616,"urn:lsid:marinespecies.org:taxname:154675","Lumpenus","Stichaeidae","Perciformes","Lumpenus lampretaeformis",465616,NA,NA
"2",41320,-60.1627502441406,47.1866188049316,"31507.","Atlantic Canada Conservation Data Centre",418487,"urn:lsid:marinespecies.org:taxname:137130","Cepphus","Alcidae","Charadriiformes","Cepphus grylle",418487,NA,NA
"3",59015,-60.1316986083984,47.0149993896484,"ARC 163286","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"4",59023,-59.6666984558105,46.6683006286621,"ARC 157015","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"5",79377,-59.6185989379883,46.6497001647949,"ARC 162666","Fishbase occurrences hosted by GBIF-Sweden",402406,"urn:lsid:marinespecies.org:taxname:126758","Anarhichas","Anarhichadidae","Perciformes","Anarhichas lupus",402406,NA,NA
"6",79419,-59.8166999816895,47.1666984558105,"ARC 155727","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"7",99551,-59.6666984558105,46.6666984558105,"ARC 147245","Fishbase occurrences hosted by GBIF-Sweden",507947,"urn:lsid:marinespecies.org:taxname:127023","Scomber","Scombridae","Perciformes","Scomber scombrus",507947,NA,NA
"8",99611,-59.6599998474121,46.6567001342773,"ARC 146715","Fishbase occurrences hosted by GBIF-Sweden",627911,"urn:lsid:marinespecies.org:taxname:126436","Gadus","Gadidae","Gadiformes","Gadus morhua",627911,NA,NA
"9",119721,-59.6666984558105,46.6666984558105,"ARC 157729","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"10",140164,-59.5,46.9333000183105,"ARC 155725","Fishbase occurrences hosted by GBIF-Sweden",447296,"urn:lsid:marinespecies.org:taxname:127136","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Glyptocephalus cynoglossus",447296,NA,NA
"11",160312,-59.6666984558105,46.6666984558105,"ARC 148269","Fishbase occurrences hosted by GBIF-Sweden",1023164,"urn:lsid:marinespecies.org:taxname:293745","Stichaeus","Stichaeidae","Perciformes","Stichaeus punctatus",513989,NA,NA
"12",180043,-59.2597007751465,46.5525016784668,"ARC 158307","Fishbase occurrences hosted by GBIF-Sweden",516997,"urn:lsid:marinespecies.org:taxname:159785","Tautogolabrus","Labridae","Perciformes","Tautogolabrus adspersus",516997,NA,NA
"13",180701,-59.6599998474121,46.6567001342773,"ARC 146714","Fishbase occurrences hosted by GBIF-Sweden",438467,"urn:lsid:marinespecies.org:taxname:126450","Enchelyopus","Lotidae","Gadiformes","Enchelyopus cimbrius",438467,NA,NA
"14",220626,-59.8166999816895,47.0167007446289,"ARC 115059","Fishbase occurrences hosted by GBIF-Sweden",523626,"urn:lsid:marinespecies.org:taxname:159821","Ulvaria","Stichaeidae","Perciformes","Ulvaria subbifurcata",523626,NA,NA
"15",280719,-59.9000015258789,47.0167007446289,"ARC 155735","Fishbase occurrences hosted by GBIF-Sweden",469903,"urn:lsid:marinespecies.org:taxname:158962","Merluccius","Merlucciidae","Gadiformes","Merluccius bilinearis",469903,NA,NA
"16",301434,-59.6666984558105,46.6666984558105,"ARC 149103","Fishbase occurrences hosted by GBIF-Sweden",467703,"urn:lsid:marinespecies.org:taxname:126735","Mallotus","Osmeridae","Osmeriformes","Mallotus villosus",467703,NA,NA
"17",341741,-59.6599998474121,46.6567001342773,"ARC 146713","Fishbase occurrences hosted by GBIF-Sweden",424201,"urn:lsid:marinespecies.org:taxname:126417","Clupea","Clupeidae","Clupeiformes","Clupea harengus",424201,NA,NA
"18",381837,-59.88330078125,46.8333015441895,"ARC 114183","Fishbase occurrences hosted by GBIF-Sweden",454204,"urn:lsid:marinespecies.org:taxname:127137","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Hippoglossoides platessoides",454204,NA,NA
"19",382441,-59.8685989379883,46.8274993896484,"ARC 163295","Fishbase occurrences hosted by GBIF-Sweden",454204,"urn:lsid:marinespecies.org:taxname:127137","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Hippoglossoides platessoides",454204,NA,NA
"20",400691,-59.4925003051758,46.9258003234863,"ARC 145966","Fishbase occurrences hosted by GBIF-Sweden",627911,"urn:lsid:marinespecies.org:taxname:126436","Gadus","Gadidae","Gadiformes","Gadus morhua",627911,NA,NA
