"Poly_ID","Chordates","Arthropods","AllElse"
"1",27,0,0
"2",12,0,3
"3",7,0,2
"4",9,0,0
"5",24,0,2
"6",13,0,0
"7",7,183,23
"8",7,0,1
"9",15,0,0
"10",14,0,0
"11",8,0,4
"12",16,277,16
"13",5,0,0
"14",1429,128,227
"15",221,5,37
"16",7,0,1
"18",19,0,0
"19",17,1,0
"20",11,0,0
"21",6,0,0
"22",7,0,0
"23",2889,876,1061
"24",3472,389,399
"25",564,106,188
"26",32,24,33
"27",17,2,17
"28",52,0,0
"29",38,0,0
"30",4,0,16
"31",16,0,2
"32",70,4,4
"33",10,0,44
"34",3070,1128,1044
"35",4279,5047,1477
"36",3822,878,863
"37",3587,946,838
"38",267,25,47
"39",21,25,32
"40",8,4,4
"41",76,0,2
"44",2,0,0
"45",33,0,2
"46",3,14,0
"47",5212,1589,1549
"48",4384,1951,1328
"49",4254,1162,945
"50",6459,964,669
"51",1947,190,318
"52",128,29,73
"53",19,1,6
"54",29,20,19
"55",2,0,1
"56",3,0,0
"57",7,0,1
"58",22,0,0
"59",36,0,4
"60",13,0,0
"61",1,0,0
"62",1860,377,400
"63",3549,5443,1172
"64",4143,767,542
"65",10596,1437,1274
"66",4471,1009,676
"67",3638,577,856
"68",785,169,192
"69",39,41,30
"70",76,4,0
"71",3,0,0
"72",0,0,2
"74",27,0,0
"75",3,0,0
"76",67,1,4
"77",8,0,0
"78",35,0,1
"79",1175,259,242
"80",1905,367,104
"81",1808,101,157
"82",2087,582,229
"83",2115,554,421
"84",3091,1855,782
"85",1160,1115,572
"86",1327,1064,336
"87",147,621,208
"88",65,25,29
"89",15,0,0
"90",13,21,14
"91",53,0,1
"92",2,1,0
"93",1,0,1
"94",1,0,0
"95",36,0,1
"96",2,0,3
"97",1,0,0
"98",1080,1509,700
"99",842,639,205
"100",1509,95,127
"101",2044,114,151
"102",5700,121,244
"103",3656,528,553
"104",1389,3668,1178
"105",4867,486,357
"106",927,150,255
"107",384,162,163
"108",105,12,6
"109",11,65,8
"110",16,11,4
"111",48,0,5
"112",16,0,0
"113",3,0,0
"114",6,108,7
"115",5,0,0
"116",1,0,0
"117",1377,189,351
"118",1139,1080,547
"119",1535,1432,772
"120",1889,470,344
"121",2771,206,197
"122",10407,927,709
"123",5097,513,590
"124",12516,1253,761
"125",3509,279,141
"126",1327,129,108
"127",78,277,237
"128",108,6,22
"129",29,0,0
"130",57,0,3
"131",42,0,0
"132",2,0,11
"133",0,0,1
"134",28,4,12
"135",3,0,0
"136",1,0,0
"138",5,1,5
"139",10,0,2
"140",985,157,275
"141",1779,315,239
"142",1414,1977,1468
"143",1490,1462,641
"144",1110,412,215
"145",7954,836,698
"146",3895,980,463
"147",5468,534,385
"148",1586,92,108
"149",732,77,44
"150",47,188,195
"151",43,48,51
"152",126,8,1
"153",28,24,33
"154",40,111,23
"155",7,0,0
"156",86,207,53
"157",1,0,0
"158",3,0,1
"159",42,0,8
"160",94,0,19
"161",119,0,8
"162",222,124,89
"163",46,0,0
"164",10,0,1
"165",1409,342,141
"166",1708,209,238
"167",2606,418,172
"168",1971,2282,770
