"","id","decimalLongitude","decimalLatitude","catalogNumber","datasetName","obisID","scientificNameID","genus","family","order","species","speciesID","sex","datasetID"
"15001",1140052329,-60.03292,46.8875,"NED1994222-57-12-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",524073,"urn:lsid:marinespecies.org:taxname:126504","Urophycis","Phycidae","Gadiformes","Urophycis tenuis",524073,NA,"dfogfsdbfish"
"15002",1140052330,-60.03292,46.8875,"NED1994222-57-202-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",467598,"urn:lsid:marinespecies.org:taxname:158554","Malacoraja","Rajidae","Rajiformes","Malacoraja senta",467598,NA,"dfogfsdbfish"
"15003",1140052331,-60.15817,47.11559,"NED1994222-58-306-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",406460,"urn:lsid:marinespecies.org:taxname:127195","Artediellus","Cottidae","Scorpaeniformes","Artediellus uncinatus",406460,NA,"dfogfsdbfish"
"15004",1140052335,-59.63708,46.55992,"NED1995227-44-201-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",400506,"urn:lsid:marinespecies.org:taxname:105865","Amblyraja","Rajidae","Rajiformes","Amblyraja radiata",400506,NA,"dfogfsdbfish"
"15005",1140052366,-59.92417,46.7355,"NED1994222-56-340-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",406866,"urn:lsid:marinespecies.org:taxname:159459","Aspidophoroides","Agonidae","Scorpaeniformes","Aspidophoroides monopterygius",406866,NA,"dfogfsdbfish"
"15006",1140052367,-60.03292,46.8875,"NED1994222-57-220-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",512833,"urn:lsid:marinespecies.org:taxname:105923","Squalus","Squalidae","Squaliformes","Squalus acanthias",512833,NA,"dfogfsdbfish"
"15007",1140052368,-60.15817,47.11559,"NED1994222-58-220-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",512833,"urn:lsid:marinespecies.org:taxname:105923","Squalus","Squalidae","Squaliformes","Squalus acanthias",512833,NA,"dfogfsdbfish"
"15008",1140052369,-59.58158,46.70492,"NED1994222-60-400-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",464928,"urn:lsid:marinespecies.org:taxname:159184","Lophius","Lophiidae","Lophiiformes","Lophius americanus",464928,NA,"dfogfsdbfish"
"15009",1140052513,-59.70675,46.79258,"NED1994222-59-220-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",512833,"urn:lsid:marinespecies.org:taxname:105923","Squalus","Squalidae","Squaliformes","Squalus acanthias",512833,NA,"dfogfsdbfish"
"15010",1140052584,-59.97292,46.91709,"NED1996247-47-40-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",454204,"urn:lsid:marinespecies.org:taxname:127137","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Hippoglossoides platessoides",454204,NA,"dfogfsdbfish"
"15011",1140052585,-59.82892,46.62325,"NED1996247-42-340-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",406866,"urn:lsid:marinespecies.org:taxname:159459","Aspidophoroides","Agonidae","Scorpaeniformes","Aspidophoroides monopterygius",406866,NA,"dfogfsdbfish"
"15012",1140053104,-59.31842,46.52292,"NED2000431-72-201-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",400506,"urn:lsid:marinespecies.org:taxname:105865","Amblyraja","Rajidae","Rajiformes","Amblyraja radiata",400506,NA,"dfogfsdbfish"
"15013",1140053112,-59.58158,46.70492,"NED1994222-60-220-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",512833,"urn:lsid:marinespecies.org:taxname:105923","Squalus","Squalidae","Squaliformes","Squalus acanthias",512833,NA,"dfogfsdbfish"
"15014",1140053113,-59.58158,46.70492,"NED1994222-60-647-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",641045,"urn:lsid:marinespecies.org:taxname:127118","Lycodes","Zoarcidae","Perciformes","Lycodes vahlii",641045,NA,"dfogfsdbfish"
"15015",1140053191,-59.75217,46.75034,"HAM1991231-98-50-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",402406,"urn:lsid:marinespecies.org:taxname:126758","Anarhichas","Anarhichadidae","Perciformes","Anarhichas lupus",402406,NA,"dfogfsdbfish"
"15016",1140053330,-59.63708,46.55992,"NED1995227-44-60-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",424201,"urn:lsid:marinespecies.org:taxname:126417","Clupea","Clupeidae","Clupeiformes","Clupea harengus",424201,NA,"dfogfsdbfish"
"15017",1140053872,-60.22683,47.04017,"NED1995227-42-41-1","DFO Maritimes Research Vessel Trawl Surveys Fish Observations",447296,"urn:lsid:marinespecies.org:taxname:127136","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Glyptocephalus cynoglossus",447296,NA,"dfogfsdbfish"
