"","id","decimalLongitude","decimalLatitude","catalogNumber","datasetName","obisID","scientificNameID","genus","family","order","species","speciesID","sex","datasetID"
"30001",1147078508,-59.95,47.1,"280_11266","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30002",1147078536,-59.2833,47.3833,"280_10872","PIROP Northwest Atlantic 1965-1992",504524,"urn:lsid:marinespecies.org:taxname:137156","Rissa","Laridae","Charadriiformes","Rissa tridactyla",504524,NA,"280"
"30003",1147078537,-59.2833,47.3833,"280_10873","PIROP Northwest Atlantic 1965-1992",504524,"urn:lsid:marinespecies.org:taxname:137156","Rissa","Laridae","Charadriiformes","Rissa tridactyla",504524,NA,"280"
"30004",1147078538,-59.2833,47.3833,"280_10875","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30005",1147078540,-59.2833,47.3833,"280_10874","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30006",1147078541,-59.2833,47.3833,"280_10876","PIROP Northwest Atlantic 1965-1992",749351,"urn:lsid:marinespecies.org:taxname:136988",NA,"Laridae","Charadriiformes",NA,NA,NA,"280"
"30007",1147078542,-59.2167,47.3,"280_89196","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30008",1147078543,-59.2167,47.3,"280_89195","PIROP Northwest Atlantic 1965-1992",479822,"urn:lsid:marinespecies.org:taxname:137192","Oceanodroma","Hydrobatidae","Procellariiformes","Oceanodroma leucorhoa",479822,NA,"280"
"30009",1147078544,-59.2167,47.3,"280_89193","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30010",1147078545,-59.2167,47.3,"280_89194","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30011",1147078552,-59.9333,46.6833,"280_89665","PIROP Northwest Atlantic 1965-1992",504524,"urn:lsid:marinespecies.org:taxname:137156","Rissa","Laridae","Charadriiformes","Rissa tridactyla",504524,NA,"280"
"30012",1147079064,-59.3,46.6,"280_22538","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30013",1147079065,-59.3,46.6,"280_22539","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30014",1147079238,-59.3,46.6,"280_22542","PIROP Northwest Atlantic 1965-1992",504524,"urn:lsid:marinespecies.org:taxname:137156","Rissa","Laridae","Charadriiformes","Rissa tridactyla",504524,NA,"280"
"30015",1147079573,-59.35,47.3167,"280_11068","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30016",1147079587,-59.3,46.6,"280_22543","PIROP Northwest Atlantic 1965-1992",432575,"urn:lsid:marinespecies.org:taxname:137094","Delphinus","Delphinidae","Cetartiodactyla","Delphinus delphis",432575,NA,"280"
"30017",1147079588,-59.3,46.6,"280_22540","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30018",1147079589,-59.3,46.6,"280_22541","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30019",1147079963,-59.5167,47.4667,"280_62510","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30020",1147079964,-59.5167,47.4667,"280_62507","PIROP Northwest Atlantic 1965-1992",504524,"urn:lsid:marinespecies.org:taxname:137156","Rissa","Laridae","Charadriiformes","Rissa tridactyla",504524,NA,"280"
"30021",1147079965,-59.5167,47.4667,"280_62506","PIROP Northwest Atlantic 1965-1992",460246,"urn:lsid:marinespecies.org:taxname:159075","Larus","Laridae","Charadriiformes","Larus glaucoides",460245,NA,"280"
"30022",1147079966,-59.5167,47.4667,"280_62509","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30023",1147079968,-59.5167,47.4667,"280_62505","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30024",1147079969,-59.3333,46.5333,"280_22528","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30025",1147079970,-59.3333,46.5333,"280_22531","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30026",1147079971,-59.3333,46.5333,"280_22536","PIROP Northwest Atlantic 1965-1992",650174,"urn:lsid:marinespecies.org:taxname:137190","Oceanites","Hydrobatidae","Procellariiformes","Oceanites oceanicus",650174,NA,"280"
"30027",1147079972,-59.3333,46.5333,"280_22530","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30028",1147079973,-59.3333,46.5333,"280_22537","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30029",1147079974,-59.3333,46.5333,"280_22535","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30030",1147079975,-59.3333,46.5333,"280_22534","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30031",1147079976,-59.3333,46.5333,"280_22529","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30032",1147079977,-59.3333,46.5333,"280_22533","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30033",1147079978,-59.3333,46.5333,"280_22532","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30034",1147080094,-60.1167,47.3167,"280_11027","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30035",1147080232,-59.5167,47.4667,"280_62508","PIROP Northwest Atlantic 1965-1992",460223,"urn:lsid:marinespecies.org:taxname:137043","Larus","Laridae","Charadriiformes",NA,NA,NA,"280"
"30036",1147080545,-59.6667,46.6,"280_22369","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30037",1147080559,-59.6667,46.6,"280_22362","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30038",1147080560,-59.6667,46.6,"280_22361","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30039",1147080561,-59.6667,46.6,"280_22366","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30040",1147080562,-59.6667,46.6,"280_22365","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30041",1147080576,-59.6667,46.6,"280_22385","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30042",1147080577,-59.6667,46.6,"280_22367","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30043",1147080578,-59.6667,46.6,"280_22370","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30044",1147080579,-59.6667,46.6,"280_22386","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30045",1147080580,-59.6667,46.6,"280_22395","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30046",1147080633,-60.2167,46.9167,"280_25410","PIROP Northwest Atlantic 1965-1992",650174,"urn:lsid:marinespecies.org:taxname:137190","Oceanites","Hydrobatidae","Procellariiformes","Oceanites oceanicus",650174,NA,"280"
"30047",1147080634,-60.2167,46.9167,"280_25409","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30048",1147080635,-60.2167,46.9167,"280_25412","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30049",1147080725,-59.6667,46.6,"280_22368","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30050",1147080726,-59.6667,46.6,"280_22387","PIROP Northwest Atlantic 1965-1992",663421,"urn:lsid:marinespecies.org:taxname:137203","Puffinus","Procellariidae","Procellariiformes","Puffinus puffinus",663421,NA,"280"
"30051",1147080727,-59.6667,46.6,"280_22363","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30052",1147080728,-59.6667,46.6,"280_22360","PIROP Northwest Atlantic 1965-1992",663416,"urn:lsid:marinespecies.org:taxname:137202","Puffinus","Procellariidae","Procellariiformes","Puffinus griseus",663416,NA,"280"
"30053",1147080954,-59.6667,46.6,"280_22372","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30054",1147080955,-59.6667,46.6,"280_22364","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30055",1147080956,-59.6667,46.6,"280_22384","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30056",1147080957,-59.6667,46.6,"280_22394","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30057",1147080976,-60.2167,46.9167,"280_25411","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30058",1147080977,-59.5,46.7833,"280_74039","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30059",1147081099,-59.5,46.7833,"280_74036","PIROP Northwest Atlantic 1965-1992",650174,"urn:lsid:marinespecies.org:taxname:137190","Oceanites","Hydrobatidae","Procellariiformes","Oceanites oceanicus",650174,NA,"280"
"30060",1147081100,-59.5,46.7833,"280_74035","PIROP Northwest Atlantic 1965-1992",479818,"urn:lsid:marinespecies.org:taxname:137060","Oceanodroma","Hydrobatidae","Procellariiformes",NA,NA,NA,"280"
"30061",1147081101,-59.5,46.7833,"280_74037","PIROP Northwest Atlantic 1965-1992",663415,"urn:lsid:marinespecies.org:taxname:137201","Puffinus","Procellariidae","Procellariiformes","Puffinus gravis",663415,NA,"280"
"30062",1147081102,-59.5,46.7833,"280_74038","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30063",1147081103,-59.8667,46.6167,"280_40358","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30064",1147081104,-59.6667,46.6,"280_22371","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30065",1147081224,-59.9,46.6,"280_5434","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30066",1147081233,-59.9,46.6,"280_5436","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30067",1147081234,-59.9,46.6,"280_5437","PIROP Northwest Atlantic 1965-1992",460257,"urn:lsid:marinespecies.org:taxname:137146","Larus","Laridae","Charadriiformes","Larus marinus",460257,NA,"280"
"30068",1147081476,-59.3833,47.0333,"280_10935","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30069",1147081488,-59.9,46.6,"280_5435","PIROP Northwest Atlantic 1965-1992",444664,"urn:lsid:marinespecies.org:taxname:137195","Fulmarus","Procellariidae","Procellariiformes","Fulmarus glacialis",444664,NA,"280"
"30070",1147081489,-59.1667,46.8333,"280_22574","PIROP Northwest Atlantic 1965-1992",504524,"urn:lsid:marinespecies.org:taxname:137156","Rissa","Laridae","Charadriiformes","Rissa tridactyla",504524,NA,"280"
"30071",1147081490,-59.1667,46.8333,"280_22576","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
"30072",1147081491,-59.1667,46.8333,"280_22575","PIROP Northwest Atlantic 1965-1992",504524,"urn:lsid:marinespecies.org:taxname:137156","Rissa","Laridae","Charadriiformes","Rissa tridactyla",504524,NA,"280"
"30073",1147081492,-59.1667,46.8333,"280_22577","PIROP Northwest Atlantic 1965-1992",460224,"urn:lsid:marinespecies.org:taxname:137138","Larus","Laridae","Charadriiformes","Larus argentatus",460224,NA,"280"
